Sl_No,State,District,Spring Name,Latitude,Longitude,Elevation,pH,TDS,DEM_Elevation,Elevation_Difference,DEM_Neighborhood_Median,Neighborhood_Difference,Elevation_QC,Slope,Aspect,Annual_Rainfall_2023,LULC_Code,LULC,Distance_to_Drainage_m,Flow_Accumulation,Clay_0_5cm,Geology,Geology_Code,Geology_Source_Sheet,Geology_QC,Status,Candidate_Cells,Area_km2,Mean_Zone_Score,Median_Zone_Score,Max_Zone_Score,Mean_Elevation_m,Mean_Slope_deg,Mean_Drainage_Distance_m,Mean_Flow_Accumulation,Elevation_Support,Drainage_Support,Slope_Support,TPI_Support,Flow_Support,Evidence_Support_Index,Final_Status,Confidence_Level,Interpretation,Recharge_Suitability_Score,Recharge_Suitability_Class,Indicative_Intervention,Intervention_Category,Risk_Flag,Risk_Level,Spring_Revival_Priority_Score,Priority_Class
11,West Bengal,Darjeeling,Swimming Pool Dhara,27.03723,88.408086,1016.25,6.8,,916.0,-100.25,916.0,-100.25,REVIEW,27.679563522338867,157.63186645507812,4049.5537109375,10,Tree cover,290.31509710417583,13.0,251.0,Phyllite,93,78A/8,VISUAL_REVIEW,ZONE_CREATED,378,0.3402,0.639973411409316,0.6334763239655636,0.7459185025788018,792.3835978835979,21.02614227238788,65.66586328936955,37.116402116402114,0.0846560846560846,0.9947089947089948,0.8386243386243386,0.8227513227513228,0.7433862433862434,0.6724867724867725,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,61.73656134130439,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,71.04288384525536,Higher Priority
12,West Bengal,Darjeeling,SM dhara,26.977935,88.392346,796.74,6.46,,801.0,4.259999999999991,801.0,4.259999999999991,OK,15.3317289352417,160.6728515625,4049.5537109375,10,Tree cover,193.5433980694505,67.0,257.0,Schist,921,78B/5,VISUAL_REVIEW,ZONE_CREATED,1318,1.1862,0.6660558559670195,0.661860875453416,0.7974530656799053,750.9871016691958,19.56649311712938,78.91326239901609,41.12746585735964,0.3399089529590288,0.960546282245827,0.9370257966616083,0.7921092564491654,0.6874051593323217,0.7344461305007588,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,71.43535504526294,High,Contour trench / infiltration treatment,Contour / Infiltration,,Low,77.75106143765423,Higher Priority
13,West Bengal,Darjeeling,Singhdhap,27.034334,88.348315,1631.6,6.47,,1648.0,16.40000000000009,1650.0,18.40000000000009,OK,15.059104919433594,61.26352691650391,3029.22314453125,10,Tree cover,55.10380348480506,5.0,283.0,Gneiss,831,78A/8,VISUAL_REVIEW,ZONE_CREATED,1999,1.7991,0.7291137305507481,0.7130223650190067,0.8891294614921442,1654.6423212606303,15.44536019723213,50.91677672207321,98.99249624812406,0.6033016508254128,0.9939969984992496,0.9939969984992496,0.9624812406203102,0.7738869434717359,0.8585792896448223,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,58.71006557471634,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,75.11241147670285,Higher Priority
14,West Bengal,Darjeeling,Kanchan Dhara,27.064836,88.365293,1331.28,7.51,,1341.0,9.720000000000027,1341.0,9.720000000000027,OK,18.84121894836425,161.3917236328125,3029.22314453125,10,Tree cover,27.55190174240253,1.0,270.0,Schist,921,78A/8,VISUAL_REVIEW,ZONE_CREATED,2171,1.9539,0.6741012876460462,0.6649246277399841,0.8366036405834096,1458.0534315983418,22.62543367357954,48.7350660142345,69.83832335329342,0.7190234914785812,0.9944725932749884,0.8714877936434823,0.8770152003684938,0.8134500230308613,0.8562413634269921,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,55.92010832084764,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,73.64729506323357,Higher Priority
15,West Bengal,Darjeeling,Bas Ghari Dhara,27.044927,88.404815,932.54,7.7,,881.0,-51.53999999999997,882.0,-50.53999999999997,OK,26.07007598876953,105.3312759399414,4049.5537109375,10,Tree cover,144.05336191291235,12.0,268.0,Phyllite,93,78A/8,VISUAL_REVIEW,SPRING_NOT_IN_TOP25_PERCENT,0,,,,,,,,,,,,,,,FIELD_VERIFICATION_REQUIRED,Unresolved,No zone assigned by current workflow; field verification required,70.57346554772435,High,Field verification before intervention,Field Verification,Field verification required,High,27.486376303010417,Lower Priority
16,West Bengal,Darjeeling,Dhobi Dhara,26.898091,88.35293,902.11,6.67,,929.0,26.889999999999983,935.0,32.889999999999986,OK,18.417648315429688,78.80021667480469,3029.22314453125,10,Tree cover,27.55190174240253,38.0,255.0,Schist,921,78B/5,VISUAL_REVIEW,ZONE_CREATED,670,0.603,0.6226159082576754,0.6094487346388505,0.7831838110502609,808.7552240597015,21.70317963614467,68.50241597913052,74.11641791044777,0.1388059701492537,0.98955223880597,0.9044776119402984,0.6671641791044776,0.6716417910447762,0.6638059701492537,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,62.57362331067856,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,71.20099075981689,Higher Priority
17,West Bengal,Darjeeling,Dokan Dhara,27.0371,88.40805,1171.38,6.4,,916.0,-255.3800000000001,916.0,-255.3800000000001,REVIEW,27.679563522338867,157.63186645507812,4049.5537109375,10,Tree cover,290.31509710417583,13.0,251.0,Phyllite,93,78A/8,VISUAL_REVIEW,ZONE_CREATED,167,0.1503,0.633927468897017,0.628092872819495,0.7350424388923229,875.4610778443114,21.514741539301475,101.07963994633602,19.077844311377245,0.18562874251497,0.9580838323353292,0.8682634730538922,0.8023952095808383,0.7065868263473054,0.6859281437125748,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,61.73656134130439,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,71.44612498202945,Higher Priority
18,West Bengal,Darjeeling,,26.901733,88.297685,1954.0,6.46,,1961.0,7.0,1961.0,7.0,OK,11.325194358825684,274.6308898925781,3029.22314453125,10,Tree cover,107.89848749142158,7.0,268.0,Schist,921,78B/5,VISUAL_REVIEW,ZONE_CREATED,1456,1.3104,0.6538737907484987,0.6379385093988084,0.8239720106674375,1903.17239010989,14.223962614019571,94.03242217194962,37.81181318681319,0.4059065934065934,0.9059065934065934,0.9642857142857144,0.8125,0.5707417582417582,0.7282967032967033,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,50.92053639757796,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,67.30916929769009,Higher Priority
19,West Bengal,Darjeeling,Ghathay,26.966598,88.364237,1175.62,7.3,,1200.0,24.38000000000011,1200.0,24.38000000000011,OK,20.52153205871582,42.74623489379883,3029.22314453125,10,Tree cover,187.5679212109597,5.0,239.0,Schist,921,78B/5,VISUAL_REVIEW,ZONE_CREATED,330,0.297,0.6650782725577921,0.6515686952394506,0.8015061942685273,1219.3454545454545,21.498527962567696,51.95840973572236,91.92424242424242,0.5606060606060606,1.0,0.9848484848484848,0.7181818181818181,0.8818181818181818,0.8271212121212121,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,49.45280348288023,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,69.54003810507648,Higher Priority
20,West Bengal,Darjeeling,ndir Dhara,26.90018,88.297706,1948.46,6.17,,1967.0,18.539999999999964,1969.0,20.539999999999964,OK,9.682310104370115,198.6082763671875,3029.22314453125,10,Tree cover,82.83214633905118,4.0,272.0,Schist,921,78B/5,VISUAL_REVIEW,ZONE_CREATED,2281,2.0529,0.6406608133698559,0.6276334688586032,0.8188787007642413,1892.252082446296,13.845900353965062,101.2135626448336,35.61727312582201,0.3081981587023235,0.8478737395879,0.915387987724682,0.6356861025865849,0.6111354669004823,0.6591188075405524,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,49.8539776640294,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,64.70055305823128,Higher Priority
21,West Bengal,Darjeeling,,27.059032,88.368548,1522.73,5.4,,1537.0,14.269999999999982,1537.0,14.269999999999982,OK,28.618040084838867,132.96908569335938,3029.22314453125,10,Tree cover,55.10380348480506,5.0,272.0,Schist,921,78A/8,VISUAL_REVIEW,ZONE_CREATED,978,0.8802,0.6942806828208854,0.685582339164781,0.8586602593103958,1509.1605316973414,26.24589802699503,48.36692706486844,87.3957055214724,0.4795501022494887,0.9959100204498976,0.9038854805725972,0.9304703476482618,0.8558282208588958,0.8175869120654397,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,57.15165199091964,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,73.103433357423,Higher Priority
22,West Bengal,Darjeeling,Noryang Dhara,27.053083,88.379887,1520.42,6.88,,1637.0,116.57999999999991,1641.0,120.57999999999991,REVIEW,23.022676467895508,110.02693176269533,4049.5537109375,10,Tree cover,82.83214633905118,55.0,302.0,Schist,921,78A/8,VISUAL_REVIEW,ZONE_CREATED,460,0.414,0.7471717565710133,0.7394246958063998,0.8719809229178452,1603.695652173913,22.31161727117905,57.19399402307035,48.55217391304348,0.4260869565217391,0.9847826086956522,0.9391304347826088,0.9130434782608696,0.7108695652173913,0.7841304347826087,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,84.74117287457908,High,Drainage-line recharge / small check structure,Drainage-line Recharge,,Low,85.89449948076779,Higher Priority
23,West Bengal,Darjeeling,Pangrey Khola Dhara,26.904779,88.344451,1184.31,6.8,,1159.0,-25.309999999999945,1166.0,-18.309999999999945,OK,28.0842399597168,0.0,3029.22314453125,10,Tree cover,0.0,1127.0,254.0,Schist,921,78B/5,VISUAL_REVIEW,ZONE_CREATED,904,0.8136,0.653042777003146,0.6426436408672697,0.8445540258604405,1090.632743362832,27.15955297599836,46.485142185866806,102.30862831858408,0.3661504424778761,1.0,0.961283185840708,0.8119469026548672,0.797566371681416,0.7752212389380532,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,72.87824748975008,High,Drainage-line recharge / small check structure,Drainage-line Recharge,,Low,79.69576091301664,Higher Priority
24,West Bengal,Darjeeling,Pani Kuwa,26.918735,88.341995,1719.64,6.83,,1723.0,3.3599999999999,1732.0,12.3599999999999,OK,27.029584884643555,292.3541259765625,3029.22314453125,10,Tree cover,327.3391563485055,10.0,267.0,Schist,921,78B/5,VISUAL_REVIEW,ZONE_CREATED,883,0.7947,0.6226010706914725,0.6165106500897617,0.7439780091074468,1616.858437146093,28.15798240364149,101.1936310153299,43.18346545866365,0.1619479048697621,0.8584371460928653,0.9660249150622876,0.4428086070215175,0.7870894677236693,0.6327859569648925,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,49.10914136138792,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,63.53814938964073,Higher Priority
25,West Bengal,Darjeeling,Simana Dhara,27.058905,88.370231,1503.42,5.7,,1518.0,14.579999999999927,1518.0,14.579999999999927,OK,14.207261085510254,163.33824157714844,3029.22314453125,10,Tree cover,0.0,106.0,277.0,Schist,921,78A/8,VISUAL_REVIEW,ZONE_CREATED,1528,1.3752,0.6809913713490299,0.6711740142069026,0.8541067310458119,1517.6865183246073,21.20663459618245,40.333435006130266,70.73298429319372,0.4836387434554974,0.9986910994764396,0.7336387434554974,0.9404450261780104,0.819371727748691,0.781282722513089,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,67.86826505632017,Moderate,Drainage-line recharge / small check structure,Drainage-line Recharge,,Low,77.37261420355274,Higher Priority
26,West Bengal,Darjeeling,Bal Goan Dhara,27.0306,88.405031,810.38,7.3,,798.0,-12.379999999999995,802.0,-8.379999999999995,OK,27.3582763671875,0.0,4049.5537109375,10,Tree cover,195.3264985061876,6.0,236.0,Phyllite,93,78A/8,VISUAL_REVIEW,ZONE_CREATED,514,0.4626,0.6680608361803578,0.6611630399143831,0.7723230259532687,762.6809338521401,27.85837928023905,63.20987300327102,29.9863813229572,0.3501945525291828,0.9980544747081712,0.9980544747081712,0.8229571984435797,0.7198443579766537,0.7680933852140078,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,61.45616890717647,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,73.77088601000847,Higher Priority
27,West Bengal,Darjeeling,Bich Dhara,27.049959,88.348444,1820.5,6.4,,1820.0,-0.5,1817.0,-3.5,OK,29.328292846679688,240.7073974609375,3029.22314453125,10,Tree cover,551.9049734115122,2.0,279.0,Gneiss/Schist,831/921,78A/8,HIGH_PRIORITY_REVIEW,SPRING_NOT_IN_TOP25_PERCENT,2007,1.8063,0.7332,0.7332,0.7332,,,131.7099,,,,,,,,LOWER_CONFIDENCE_ZONE,Lower,Lower-confidence model-derived influence zone; field validation strongly recommended,37.897367303323904,Low,Detailed field assessment,Detailed Assessment,Lower-confidence zone; Low suitability,Moderate,27.156381103912658,Lower Priority
28,West Bengal,Darjeeling,Forest Gate Dhara,27.053061,88.379778,1520.42,6.3,,1649.0,128.57999999999993,1649.0,128.57999999999993,REVIEW,21.3574447631836,111.84846496582033,4049.5537109375,10,Tree cover,103.231298137963,51.0,302.0,Schist,921,78A/8,VISUAL_REVIEW,ZONE_CREATED,327,0.2943,0.7489045326371714,0.740162315517561,0.866097501859769,1589.7339449541284,21.25960120827361,60.014063099112896,41.57186544342508,0.3211009174311927,0.9724770642201837,0.9663608562691132,0.8929663608562691,0.6880733944954128,0.7538226299694191,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,83.71027011083149,High,Contour trench / infiltration treatment,Contour / Infiltration,,Low,84.4698139544983,Higher Priority
29,West Bengal,Darjeeling,Gyalchen Dhara,27.049949,88.348436,1817.4,6.27,,1820.0,2.599999999999909,1817.0,-0.4000000000000909,OK,29.328292846679688,240.7073974609375,3029.22314453125,10,Tree cover,551.9049734115122,2.0,279.0,Gneiss/Schist,831/921,78A/8,HIGH_PRIORITY_REVIEW,SPRING_NOT_IN_TOP25_PERCENT,2007,1.8063,0.7332,0.7332,0.7332,,,131.7099,,,,,,,,LOWER_CONFIDENCE_ZONE,Lower,Lower-confidence model-derived influence zone; field validation strongly recommended,37.897367303323904,Low,Detailed field assessment,Detailed Assessment,Lower-confidence zone; Low suitability,Moderate,27.156381103912658,Lower Priority
30,West Bengal,Darjeeling,Sanu Dhara,27.025794,88.396123,770.28,7.1,,771.0,0.7200000000000273,763.0,-7.279999999999973,OK,22.792312622070312,83.37092590332031,4049.5537109375,10,Tree cover,270.81632441978024,2.0,245.0,Phyllite,93,78A/8,VISUAL_REVIEW,SPRING_NOT_IN_TOP25_PERCENT,233,0.2097,0.7438,0.7438,0.7438,,,76.4426,,,,,,,,LOWER_CONFIDENCE_ZONE,Lower,Lower-confidence model-derived influence zone; field validation strongly recommended,58.605910788161,Moderate,Site-specific recharge assessment,Site-specific Assessment,Lower-confidence zone,Moderate,35.95751208496842,Lower Priority
31,West Bengal,Darjeeling,7 No. Dhara,27.014595,88.334083,1266.13,6.86,,1260.0,-6.130000000000109,1261.0,-5.130000000000109,OK,23.47440719604492,345.47955322265625,3029.22314453125,10,Tree cover,55.10380348480506,14.0,308.0,Schist,921,78A/8,VISUAL_REVIEW,ZONE_CREATED,662,0.5958,0.6841060517159626,0.6753406337410072,0.8105099270883487,1282.7069486404837,24.307912769936305,62.61584624615778,84.34138972809667,0.5060422960725075,0.9531722054380664,0.9984894259818732,0.5604229607250756,0.7870090634441088,0.7666163141993957,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,66.73142430456426,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,76.364201578264,Higher Priority
32,West Bengal,Darjeeling,11no. Dhara,27.014501,88.33439,1220.4,6.31,,1246.0,25.59999999999991,1246.0,25.59999999999991,OK,32.27888488769531,3.2940354347229004,3029.22314453125,10,Tree cover,82.65570522720759,2.0,308.0,Schist,921,78A/8,VISUAL_REVIEW,ZONE_CREATED,494,0.4446,0.6659157972341977,0.6594171238688656,0.7766028670479082,1311.740890688259,28.042236435473896,57.00558569496381,48.54251012145749,0.6659919028340081,0.9817813765182186,0.902834008097166,0.6336032388663968,0.7327935222672065,0.7974696356275303,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,54.96291985753247,Moderate,Contour trench / staggered trench,Contour / Infiltration,Steep terrain,High,46.413606848434895,Moderate Priority
33,West Bengal,Darjeeling,Devithan Dhara,27.041375,88.327271,1658.18,7.6,,1614.0,-44.180000000000064,1619.0,-39.180000000000064,OK,19.325363159179688,218.3873291015625,3029.22314453125,10,Tree cover,226.34588157384368,9.0,281.0,Gneiss,831,78A/8,VISUAL_REVIEW,SPRING_NOT_IN_TOP25_PERCENT,0,,,,,,,,,,,,,,,FIELD_VERIFICATION_REQUIRED,Unresolved,No zone assigned by current workflow; field verification required,56.32649531908535,Moderate,Field verification before intervention,Field Verification,Field verification required,High,22.85611097870274,Lower Priority
34,West Bengal,Darjeeling,Dhunyal Dhara,27.075792,88.337184,1014.85,6.3,,1020.0,5.149999999999977,1016.0,1.1499999999999773,OK,19.966657638549805,272.5508728027344,3029.22314453125,10,Tree cover,144.05336191291235,1.0,250.0,Schist,921,78A/8,VISUAL_REVIEW,ZONE_CREATED,357,0.3213,0.6508043884686412,0.6406322956778085,0.7653570841446833,978.3613445378152,20.1432585339556,70.200179439946,29.9187675070028,0.3445378151260504,0.9775910364145658,0.9859943977591036,0.8431372549019608,0.6862745098039216,0.7571428571428571,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,48.48437729857339,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,66.95647436357241,Higher Priority
35,West Bengal,Darjeeling,Goan Dhara,27.075761,88.337096,1023.4,7.4,,1020.0,-3.3999999999999773,1016.0,-7.399999999999977,OK,19.966657638549805,272.5508728027344,3029.22314453125,10,Tree cover,144.05336191291235,1.0,250.0,Schist,921,78A/8,VISUAL_REVIEW,ZONE_CREATED,357,0.3213,0.6508043884686412,0.6406322956778085,0.7653570841446833,978.3613445378152,20.1432585339556,70.200179439946,29.9187675070028,0.3445378151260504,0.9775910364145658,0.9859943977591036,0.8431372549019608,0.6862745098039216,0.7571428571428571,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,48.48437729857339,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,66.95647436357241,Higher Priority
36,West Bengal,Darjeeling,Golai Dhara,27.02384,88.323936,1550.4,6.33,,1795.0,244.5999999999999,1795.0,244.5999999999999,REVIEW,27.98254776000977,40.46311569213867,3029.22314453125,10,Tree cover,364.43742934497897,5.0,279.0,Schist,921,78A/8,VISUAL_REVIEW,ZONE_CREATED,1328,1.1952,0.6908107757692697,0.6843625806589568,0.8059243472666069,1692.3524096385545,26.59198337882216,54.74403766968781,41.06475903614458,0.2191265060240964,0.9887048192771084,0.9728915662650602,0.8478915662650602,0.8057228915662651,0.744578313253012,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,48.413204675030606,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,66.54395173510567,Higher Priority
37,West Bengal,Darjeeling,Jungle Dhara,27.044667,88.325516,1455.3,7.2,,1513.0,57.700000000000045,1507.0,51.700000000000045,OK,18.804122924804688,238.50973510742188,3029.22314453125,10,Tree cover,30.92222222222222,1.0,272.0,Gneiss,831,78A/8,VISUAL_REVIEW,ZONE_CREATED,2257,2.0313,0.7064386089008555,0.6963979010244677,0.8403479309300265,1463.937970757643,19.451528092149086,43.49160057393014,81.41470979175897,0.3792645104120514,0.9871510855117412,0.9902525476295968,0.9171466548515728,0.8365086397873283,0.8027027027027027,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,55.729202446160606,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,71.94568230416138,Higher Priority
